orderid,dateid,countryid,categoryid,amount
1,1,6,4,5190
2,1,25,2,1205
3,1,22,5,3155
4,1,40,2,268
5,1,28,3,3199
6,1,30,4,6643
7,1,11,2,3995
8,1,14,4,2318
9,1,18,2,3956
10,1,37,1,3681
11,1,10,3,1309
12,1,1,1,5937
13,1,9,2,6487
14,1,42,1,7745
15,1,6,1,3597
16,1,11,5,399
17,1,31,2,3199
18,1,28,2,2868
19,1,36,2,2004
20,1,22,4,5061
21,1,25,5,2124
22,1,50,3,2128
23,1,18,3,912
24,1,15,3,2295
25,1,36,4,410
26,1,11,3,2650
27,1,30,3,1371
28,1,28,4,1992
29,1,1,5,5199
30,1,33,4,3648
31,1,19,2,3433
32,1,9,4,4016
33,1,34,2,2538
34,1,36,3,1450
35,1,47,2,2815
36,1,35,5,2332
37,1,32,2,3818
38,1,20,3,5794
39,1,38,5,5287
40,1,24,4,3594
41,1,23,3,5180
42,1,25,4,3002
43,1,48,4,4500
44,1,37,3,6959
45,1,48,5,4012
46,1,53,4,1894
47,1,36,1,4076
48,1,35,1,7131
49,1,51,1,6211
50,1,24,2,5604
51,1,17,4,311
52,1,42,2,59
53,1,19,1,5905
54,1,15,5,2652
55,1,29,4,4757
56,1,49,1,3264
57,1,18,1,2546
58,1,20,5,7817
59,1,27,5,6918
60,1,4,2,7813
61,1,40,3,7908
62,1,50,1,5203
63,1,13,1,5742
64,1,12,5,3413
65,1,31,3,7967
66,1,55,1,2859
67,1,11,1,1535
68,1,33,3,2160
69,1,44,2,4116
70,1,32,4,5067
71,1,43,4,2516
72,1,46,5,6554
73,1,21,5,5442
74,1,38,2,5636
75,1,5,5,7826
76,1,4,3,6510
77,1,13,5,7453
78,1,18,5,5742
79,1,56,2,6774
80,1,30,2,511
81,1,10,5,984
82,1,32,5,5695
83,1,24,1,3475
84,1,51,2,2612
85,1,33,1,5225
86,1,36,5,1968
87,1,53,3,7330
88,1,23,4,6128
89,1,2,1,912
90,1,46,4,1178
91,1,4,1,6308
92,1,55,3,1055
93,1,25,3,7350
94,1,44,4,7329
95,1,54,3,462
96,1,23,1,5482
97,1,56,5,185
98,1,9,3,1974
99,1,31,1,4358
